Station,Class Independent Response Time,Class Independent Number of Jobs
WebServer,329.5171666666667,32.19636666666667
CheckOut,4.975133333333333,1.6567
Warehouse,107.89370000000001,1.2759666666666665
Packing,5.985600000000001,0.0659
Terminal,4.0,0.12616666666666668
